,Ticker,Bot_Algo_Returns,Buy_Hold_Returns,Bot Transaction Count
0,BTC-USD,59.61,103.97,16
1,ETH-USD,263.17,287.53,20
2,USDT-USD,-0.09,-0.06,6
3,BNB-USD,-100.0,358.74,20
4,USDC-USD,-0.57,-0.11,4
5,ADA-USD,86.73,393.13,14
6,SOL-USD,805.69,1349.08,8
7,HEX-USD,-100.0,4249.54,22
8,XRP-USD,-100.0,63.61,20
9,LUNA1-USD,2206.27,1710.43,28
10,DOT-USD,92.1,284.0,8
11,DOGE-USD,594.42,672.65,16
12,AVAX-USD,-100.0,449.46,16
13,MATIC-USD,-100.0,891.88,16
14,SHIB-USD,-100.0,5522.69,2
15,CRO-USD,53.81,175.78,12
16,DAI-USD,-2.05,0.06,4
17,ATOM-USD,-34.93,171.71,24
18,LINK-USD,197.14,154.98,20
19,LTC-USD,23.84,40.8,18
20,UNI1-USD,-100.0,161.63,6
21,ALGO-USD,256.69,137.35,14
22,TRX-USD,-13.36,87.43,18
23,FTT-USD,206.46,303.58,18
24,BCH-USD,-100.0,-4.19,18
